id,gender,masterCategory,subCategory,articleType,baseColour,display product name
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Peter England Men Party Blue Jeans
59263,Women,Accessories,Watches,Watches,Silver,Titan Women Silver Watch
21379,Men,Apparel,Bottomwear,Track Pants,Black,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Jealous 21 Women Purple Shirt
29114,Men,Accessories,Socks,Socks,Navy Blue,Puma Men Pack of 3 Socks
30039,Men,Accessories,Watches,Watches,Black,Skagen Men Black Watch
9204,Men,Footwear,Shoes,Casual Shoes,Black,Puma Men Future Cat Remix SF Black Casual Shoes
48123,Women,Accessories,Belts,Belts,Black,Fossil Women Black Huarache Weave Belt
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fila Men Cush Flex Black Slippers
47957,Women,Accessories,Bags,Handbags,Blue,Murcia Women Blue Handbag
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Ben 10 Boys Navy Blue Slippers
12369,Men,Apparel,Topwear,Shirts,Purple,Reid & Taylor Men Check Purple Shirts
29928,Men,Accessories,Watches,Watches,Black,Police Men Black Dial Watch PL12889JVSB
42419,Girls,Apparel,Topwear,Tops,White,Gini and Jony Girls Knit White Top
51832,Women,Apparel,Innerwear,Bra,Beige,Bwitch Beige Full-Coverage Bra BW335
47359,Women,Accessories,Bags,Handbags,Brown,Baggit Women Brown Handbag
17429,Men,Accessories,Watches,Watches,Black,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
12967,Men,Footwear,Sandal,Sandals,Black,ADIDAS Men Spry M Black Sandals
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Timberland Unisex Rubber Sole Brush Shoe Accessories
13089,Men,Apparel,Topwear,Sweatshirts,Grey,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
18461,Men,Personal Care,Fragrance,Deodorant,White,David Beckham Signature Men Deos
9036,Men,Footwear,Shoes,Formal Shoes,Black,Buckaroo Men Flores Black Formal Shoes
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Pitaraa Women Bronze Beaded Bracelet
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fila Men's Round Neck Navy Blue T-shirt
56019,Women,Personal Care,Lips,Lipstick,Brown,Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,Women,Accessories,Bags,Handbags,Brown,Murcia Women Casual Brown Handbag
37812,Men,Apparel,Topwear,Shirts,Navy Blue,John Players Men Navy Blue Shirt
4729,Boys,Apparel,Topwear,Tshirts,Green,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,Men,Apparel,Topwear,Shirts,Brown,John Players Men Brown Shirt
39988,Men,Footwear,Shoes,Casual Shoes,White,Gas Men Europa White Shoes
59051,Women,Footwear,Shoes,Flats,Black,Carlton London Women Black & Gold Toned Flats
20099,Women,Apparel,Topwear,Kurtas,Green,Diva Women Embroided Green Kurta
58183,Women,Accessories,Bags,Handbags,White,Rocky S Women White Handbag
29742,Women,Accessories,Bags,Handbags,Teal,Kiara Women Teal Handbag
51658,Women,Accessories,Watches,Watches,Copper,Fossil Women Copper Chronograph Watch CH2589
3954,Women,Apparel,Topwear,Tshirts,Pink,Jealous 21 Women's Pink T-shirt
18839,Men,Accessories,Belts,Belts,Black,Peter England Men Formal Black Belt
2886,Women,Footwear,Shoes,Flats,Brown,Catwalk Women Leather Brown Flats
23278,Men,Accessories,Watches,Watches,Off White,Maxima Ssteele Men Off White Watch
28690,Women,Apparel,Topwear,Kurtas,Beige,W Women Printed Beige Kurta
8580,Men,Apparel,Topwear,Waistcoat,Grey,Scullers Men  Grey Waistcoat
3168,Men,Footwear,Shoes,Sports Shoes,White,Nike Men's Incinerate MSL White Blue Shoe
18005,Men,Apparel,Bottomwear,Shorts,Black,Puma Men Long Logo Black Bermuda
17871,Men,Apparel,Innerwear,Briefs,Maroon,Levis Men Boxer Maroon Brief
9452,Men,Apparel,Topwear,Shirts,Red,John Miller Men Stripes White Red Shirts
38402,Women,Accessories,Belts,Belts,Black,Baggit Women Hood Dabang Black Belt
44984,Women,Accessories,Watches,Watches,White,Maxima Women White Dial Watch
10268,Men,Footwear,Shoes,Formal Shoes,Black,Clarks Men Hang Work Leather Black Formal Shoes
